*******************************************************************************
Ephemeris / WWW_USER Fri Oct  7 12:10:29 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: JWST_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-26 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Oct-03 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.500000000, A.D. 2021-Dec-26 00:00:00.0000, -1.051333396248731E+07,  1.347734430524017E+08,  5.836535509554618E+07, -3.021190804601036E+01,  2.371425506913697E-01, -8.849985239297333E-01,
2459575.500000000, A.D. 2021-Dec-27 00:00:00.0000, -1.313012578906814E+07,  1.347285230790353E+08,  5.828040972102065E+07, -3.030546953239984E+01, -1.085470144680538E+00, -1.085071229560495E+00,
2459576.500000000, A.D. 2021-Dec-28 00:00:00.0000, -1.574719679935446E+07,  1.345992349955862E+08,  5.817769127235512E+07, -3.026904340126997E+01, -1.873787084487341E+00, -1.292838072547598E+00,
2459577.500000000, A.D. 2021-Dec-29 00:00:00.0000, -1.835998923673636E+07,  1.344084459082727E+08,  5.805700805171435E+07, -3.020946197649774E+01, -2.532403923357401E+00, -1.500742375154799E+00,
2459578.500000000, A.D. 2021-Dec-30 00:00:00.0000, -2.096700612040480E+07,  1.341631989592159E+08,  5.791837729002300E+07, -3.013642538440458E+01, -3.137930777525631E+00, -1.708174714592452E+00,
2459579.500000000, A.D. 2021-Dec-31 00:00:00.0000, -2.356724585134404E+07,  1.338670991845392E+08,  5.776186346204012E+07, -3.005290950951877E+01, -3.712185962366166E+00, -1.914844464560977E+00,
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000, -2.615985624985927E+07,  1.335223132605445E+08,  5.758751942889786E+07, -2.995979111077288E+01, -4.266192528339271E+00, -2.120769117306375E+00,
2459581.500000000, A.D. 2022-Jan-02 00:00:00.0000, -2.874402162066780E+07,  1.331303131081113E+08,  5.739541949339428E+07, -2.985745247856505E+01, -4.805853036635145E+00, -2.325853869083112E+00,
2459582.500000000, A.D. 2022-Jan-03 00:00:00.0000, -3.131895361816392E+07,  1.326921830731943E+08,  5.718563850179519E+07, -2.974606710937256E+01, -5.334467730815261E+00, -2.530046108064703E+00,
2459583.500000000, A.D. 2022-Jan-04 00:00:00.0000, -3.388387525222849E+07,  1.322087742523067E+08,  5.695825535994614E+07, -2.962573538873888E+01, -5.854229125727627E+00, -2.733301868587820E+00,
